site,year,month,day,temp_1m_C
Buckhorn,2010,6,27,15.01417732
Buckhorn,2010,6,28,14.09882146
Buckhorn,2010,6,29,12.24614927
Buckhorn,2010,6,30,12.34452257
Buckhorn,2010,7,1,11.59278203
Buckhorn,2010,7,2,12.7008411
Buckhorn,2010,7,3,13.34865728
Buckhorn,2010,7,4,12.4989417
Buckhorn,2010,7,5,12.84514112
Buckhorn,2010,7,6,18.36974293
Buckhorn,2010,7,7,22.99031834
Buckhorn,2010,7,8,25.46112209
Buckhorn,2010,7,9,23.42155481
Buckhorn,2010,7,10,19.32224127
Buckhorn,2010,7,11,16.7698979
Buckhorn,2010,7,12,12.5025895
Buckhorn,2010,7,13,13.84836242
Buckhorn,2010,7,14,18.41195044
Buckhorn,2010,7,15,16.79020303
Buckhorn,2010,7,16,13.76254748
Buckhorn,2010,7,17,13.33297405
Buckhorn,2010,7,18,12.90333389
Buckhorn,2010,7,19,13.28904861
Buckhorn,2010,7,20,14.29379455
Buckhorn,2010,7,21,16.64986206
Buckhorn,2010,7,22,14.01350994
Buckhorn,2010,7,23,16.94234127
Buckhorn,2010,7,24,21.87627477
Buckhorn,2010,7,25,21.36918325
Buckhorn,2010,7,26,19.94059872
Buckhorn,2010,7,27,15.16720456
Buckhorn,2010,7,28,14.87979141
Buckhorn,2010,7,29,15.45020184
Buckhorn,2010,7,30,15.54285456
Buckhorn,2010,7,31,15.0612584
Buckhorn,2010,8,1,16.53776063
Buckhorn,2010,8,2,15.84301849
Buckhorn,2010,8,3,15.36768771
Buckhorn,2010,8,4,18.5947216
Buckhorn,2010,8,5,18.97225857
Buckhorn,2010,8,6,15.6316329
Buckhorn,2010,8,7,15.48104359
Buckhorn,2010,8,8,15.2789766
Buckhorn,2010,8,9,13.66816147
Buckhorn,2010,8,10,14.58354332
Buckhorn,2010,8,11,17.20971836
Buckhorn,2010,8,12,17.84510599
Buckhorn,2010,8,13,21.87415496
Buckhorn,2010,8,14,25.17656965
Buckhorn,2010,8,15,25.88168916
Buckhorn,2010,8,16,22.20711331
Buckhorn,2010,8,17,21.42214126
Buckhorn,2010,8,18,15.78267724
Buckhorn,2010,8,19,15.40710794
Buckhorn,2010,8,20,14.1998991
Buckhorn,2010,8,21,13.53970737
Buckhorn,2010,8,22,14.53386007
Buckhorn,2010,8,23,15.91997772
Buckhorn,2010,8,24,20.82591749
Buckhorn,2010,8,25,22.57611229
Buckhorn,2010,8,26,14.80647463
Buckhorn,2010,8,27,13.85692785
Buckhorn,2010,8,28,14.50593464
Buckhorn,2010,8,29,11.81294215
Buckhorn,2010,8,30,14.14972465
Buckhorn,2010,8,31,11.69619113
Buckhorn,2010,9,1,15.40016974
Buckhorn,2010,9,2,16.97841281
Buckhorn,2010,9,3,19.15657641
Buckhorn,2010,9,4,13.86224466
Buckhorn,2010,9,5,12.70129968
Buckhorn,2010,9,6,12.22687357
Buckhorn,2010,9,7,13.92170647
Buckhorn,2010,9,8,13.70406299
Buckhorn,2010,9,9,12.93986953
Buckhorn,2010,9,10,13.31091473
Buckhorn,2010,9,11,12.66234293
Buckhorn,2010,9,12,14.61854548
Buckhorn,2010,9,13,15.34260743
Buckhorn,2010,9,14,15.46598361
Buckhorn,2010,9,15,15.09130752
Buckhorn,2010,9,16,16.03021883
Buckhorn,2010,9,17,15.71293838
Buckhorn,2010,9,18,16.89902912
Buckhorn,2010,9,19,15.65696669
Buckhorn,2010,9,20,13.00302227
Buckhorn,2010,9,21,12.34865746
Buckhorn,2010,9,22,12.652371
Buckhorn,2010,9,23,10.41338847
Buckhorn,2010,9,24,14.37095677
Buckhorn,2010,9,25,16.71849396
